"cell","group","week","sample"
"CKp25_0w_m1_F4","CKp25","0","CKp25_0w_m1"
"CKp25_0w_m1_F5","CKp25","0","CKp25_0w_m1"
"CKp25_0w_m1_F6","CKp25","0","CKp25_0w_m1"
"CKp25_0w_m1_F7","CKp25","0","CKp25_0w_m1"
"CKp25_0w_m1_F8","CKp25","0","CKp25_0w_m1"
"CKp25_0w_m1_F9","CKp25","0","CKp25_0w_m1"
"CKp25_0w_m1_G1","CKp25","0","CKp25_0w_m1"
"CKp25_0w_m1_G10","CKp25","0","CKp25_0w_m1"
"CKp25_0w_m1_G11","CKp25","0","CKp25_0w_m1"
"CKp25_0w_m1_G12","CKp25","0","CKp25_0w_m1"
"CKp25_0w_m1_G2","CKp25","0","CKp25_0w_m1"
"CKp25_0w_m1_G3","CKp25","0","CKp25_0w_m1"
"CKp25_0w_m1_G4","CKp25","0","CKp25_0w_m1"
"CKp25_0w_m1_G5","CKp25","0","CKp25_0w_m1"
"CKp25_0w_m1_G6","CKp25","0","CKp25_0w_m1"
"CKp25_0w_m1_G7","CKp25","0","CKp25_0w_m1"
"CKp25_0w_m1_G8","CKp25","0","CKp25_0w_m1"
"CKp25_0w_m1_G9","CKp25","0","CKp25_0w_m1"
"CKp25_0w_m1_H1","CKp25","0","CKp25_0w_m1"
"CKp25_0w_m1_H10","CKp25","0","CKp25_0w_m1"
"CKp25_0w_m1_H11","CKp25","0","CKp25_0w_m1"
"CKp25_0w_m1_H12","CKp25","0","CKp25_0w_m1"
"CKp25_0w_m1_H2","CKp25","0","CKp25_0w_m1"
"CKp25_0w_m1_H3","CKp25","0","CKp25_0w_m1"
"CKp25_0w_m1_H4","CKp25","0","CKp25_0w_m1"
"CKp25_0w_m1_H5","CKp25","0","CKp25_0w_m1"
"CKp25_0w_m1_H6","CKp25","0","CKp25_0w_m1"
"CKp25_0w_m1_H7","CKp25","0","CKp25_0w_m1"
"CKp25_0w_m1_H8","CKp25","0","CKp25_0w_m1"
"CKp25_0w_m1_H9","CKp25","0","CKp25_0w_m1"
