"term","selected","universe","pathway_in_universe","overlap","p_value","genes","fdr"
"cAMP signaling pathway",100,1860,22,1,0.705622348839527,"ADRB2",1
"MicroRNAs in cancer",100,1860,23,1,0.721638543135527,"NOTCH2",1
"Wnt signaling pathway",100,1860,23,1,0.721638543135527,"CSNK1A1",1
"Human T-cell leukemia virus 1 infection",100,1860,24,1,0.736791589235934,"BCL2L1",1
"Apelin signaling pathway",100,1860,25,1,0.751127559321123,"PIK3CG",1
"Fc gamma R-mediated phagocytosis",100,1860,26,1,0.764690090148309,"DNM2",1
"Axon guidance",100,1860,27,1,0.777520510532807,"FES",1
"Oxytocin signaling pathway",100,1860,28,1,0.789657962222234,"PIK3CG",1
"Human immunodeficiency virus 1 infection",100,1860,31,1,0.822273481992032,"BCL2L1",1
"MAPK signaling pathway",100,1860,35,1,0.858095922325282,"CD14",1
"Regulation of actin cytoskeleton",100,1860,35,1,0.858095922325282,"SPATA13",1
"Herpes simplex virus 1 infection",100,1860,56,1,0.956835553272539,"BCL2L1",1
"AGE-RAGE signaling pathway in diabetic complications",100,1860,17,0,1,"",1
"Adherens junction",100,1860,14,0,1,"",1
"Adipocytokine signaling pathway",100,1860,3,0,1,"",1
"African trypanosomiasis",100,1860,3,0,1,"",1
"Alanine, aspartate and glutamate metabolism",100,1860,1,0,1,"",1
"Alcoholism",100,1860,11,0,1,"",1
"Aldosterone synthesis and secretion",100,1860,12,0,1,"",1
"Aldosterone-regulated sodium reabsorption",100,1860,5,0,1,"",1
"Allograft rejection",100,1860,0,0,1,"",1
"Amino sugar and nucleotide sugar metabolism",100,1860,5,0,1,"",1
"Aminoacyl-tRNA biosynthesis",100,1860,0,0,1,"",1
"Amphetamine addiction",100,1860,9,0,1,"",1
"Antigen processing and presentation",100,1860,8,0,1,"",1
"Arachidonic acid metabolism",100,1860,8,0,1,"",1
"Arginine and proline metabolism",100,1860,3,0,1,"",1
"Arginine biosynthesis",100,1860,0,0,1,"",1
"Arrhythmogenic right ventricular cardiomyopathy (ARVC)",100,1860,8,0,1,"",1
"Ascorbate and aldarate metabolism",100,1860,0,0,1,"",1
"Asthma",100,1860,0,0,1,"",1
"Autoimmune thyroid disease",100,1860,0,0,1,"",1
"B cell receptor signaling pathway",100,1860,16,0,1,"",1
"Basal cell carcinoma",100,1860,2,0,1,"",1
"Base excision repair",100,1860,2,0,1,"",1
"Bile secretion",100,1860,4,0,1,"",1
"Biosynthesis of unsaturated fatty acids",100,1860,2,0,1,"",1
"Bladder cancer",100,1860,5,0,1,"",1
"Butanoate metabolism",100,1860,3,0,1,"",1
"C-type lectin receptor signaling pathway",100,1860,17,0,1,"",1
"Caffeine metabolism",100,1860,0,0,1,"",1
"Carbohydrate digestion and absorption",100,1860,3,0,1,"",1
"Cardiac muscle contraction",100,1860,3,0,1,"",1
"Cellular senescence",100,1860,22,0,1,"",1
