"cell","sample"
"CKp25_2w_m2_F3","CK-p25 2 weeks"
"CKp25_2w_m2_F4","CK-p25 2 weeks"
"CKp25_2w_m2_F5","CK-p25 2 weeks"
"CKp25_2w_m2_F6","CK-p25 2 weeks"
"CKp25_2w_m2_F7","CK-p25 2 weeks"
"CKp25_2w_m2_F8","CK-p25 2 weeks"
"CKp25_2w_m2_F9","CK-p25 2 weeks"
"CKp25_2w_m2_G1","CK-p25 2 weeks"
"CKp25_2w_m2_G10","CK-p25 2 weeks"
"CKp25_2w_m2_G11","CK-p25 2 weeks"
"CKp25_2w_m2_G12","CK-p25 2 weeks"
"CKp25_2w_m2_G2","CK-p25 2 weeks"
"CKp25_2w_m2_G3","CK-p25 2 weeks"
"CKp25_2w_m2_G4","CK-p25 2 weeks"
"CKp25_2w_m2_G5","CK-p25 2 weeks"
"CKp25_2w_m2_G6","CK-p25 2 weeks"
"CKp25_2w_m2_G7","CK-p25 2 weeks"
"CKp25_2w_m2_G8","CK-p25 2 weeks"
"CKp25_2w_m2_G9","CK-p25 2 weeks"
"CKp25_2w_m2_H1","CK-p25 2 weeks"
"CKp25_2w_m2_H10","CK-p25 2 weeks"
"CKp25_2w_m2_H11","CK-p25 2 weeks"
"CKp25_2w_m2_H12","CK-p25 2 weeks"
"CKp25_2w_m2_H2","CK-p25 2 weeks"
"CKp25_2w_m2_H3","CK-p25 2 weeks"
"CKp25_2w_m2_H4","CK-p25 2 weeks"
"CKp25_2w_m2_H5","CK-p25 2 weeks"
"CKp25_2w_m2_H6","CK-p25 2 weeks"
"CKp25_2w_m2_H7","CK-p25 2 weeks"
"CKp25_2w_m2_H8","CK-p25 2 weeks"
"CKp25_2w_m2_H9","CK-p25 2 weeks"
